au_id,source_stand_count,source_row_count,observed_bin_count,curve_point_count,age_min,age_max,assignment_weight_basis,ambiguous_stand_count,tie_break_stand_count,lexmatch_stand_count,lexmatch_alias_stand_count,sparse_warning,selected_path,rmse,mape,tail_rmse,accepted
cwhvm2_hm_ba_l,7,721,49,299,18,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,39.335889,0.025283,48.740792,True
cwhvm2_hm_ba_m,5,608,47,299,72,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,16.616847,0.022311,20.240361,True
cwhvm2_hm_cw_h,1,249,0,0,52,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_hm_cw_l,3,847,49,299,15,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,7.587468,0.005888,4.279662,True
cwhvm2_hm_cw_m,2,78,9,299,262,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,19.380277,0.022328,19.380277,True
cwhvm2_hm_yc_h,23,2886,49,299,17,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,25.519573,0.030794,27.057807,True
cwhvm2_hm_yc_l,34,2636,49,299,17,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,53.31179,0.057738,65.465273,True
cwhvm2_hm_yc_m,31,2238,49,299,42,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,5.915532,0.009132,3.450031,True
cwhvm2_hw_ba_h,315,73580,49,299,13,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,8.307198,0.006393,4.996038,True
cwhvm2_hw_ba_l,434,43472,49,299,8,390,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,18.644216,0.016592,21.08901,True
cwhvm2_hw_ba_m,299,44127,49,299,14,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,11.427377,0.010756,12.191464,True
cwhvm2_hw_cw_h,125,29846,49,299,14,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,7.077358,0.006706,5.187514,True
