au_id,curve_lane,feature_id,stratum_code,si_class,area_ha,matched_legacy_au_code,match_confidence,max_treated_volume,age_at_max_treated_volume,treated_volume_age_40,treated_volume_age_60,treated_volume_age_80,treated_volume_age_100,natural_max_volume,treated_to_natural_max_ratio,other_species_pct_encoded_as_dr
cwhvh1_hw_cw_h,existing_managed_1_10,600312,CWHvh1_HW+CW,H,858.724563,1150,high,1884.5,350,293.8,609.9,883.7,1090.2,1040.455,1.811,0.0
cwhvh1_hw_cw_h,future_managed,600313,CWHvh1_HW+CW,H,858.724563,1500,high,1873.1,350,275.6,589.6,867.3,1075.1,1040.455,1.8,0.0
cwhvh1_hw_cw_l,existing_managed_11_50,600331,CWHvh1_HW+CW,L,749.479196,6251,fallback_review_required,1831.5,350,312.3,634.6,912.7,1122.9,594.329,3.082,0.0
cwhvh1_hw_cw_l,existing_managed_1_10,600332,CWHvh1_HW+CW,L,749.479196,7150,medium,1315.9,350,110.8,295.6,479.4,639.0,594.329,2.214,0.0
cwhvh1_hw_cw_l,future_managed,600333,CWHvh1_HW+CW,L,749.479196,1500,fallback_review_required,1873.1,350,275.6,589.6,867.3,1075.1,594.329,3.152,0.0
cwhvh1_hw_cw_m,existing_managed_11_50,600601,CWHvh1_HW+CW,M,339.5067,6251,medium,1831.5,350,312.3,634.6,912.7,1122.9,794.821,2.304,0.0
cwhvh1_hw_cw_m,existing_managed_1_10,600602,CWHvh1_HW+CW,M,339.5067,7150,high,1315.9,350,110.8,295.6,479.4,639.0,794.821,1.656,0.0
cwhvh1_hw_cw_m,future_managed,600603,CWHvh1_HW+CW,M,339.5067,1500,low,1873.1,350,275.6,589.6,867.3,1075.1,794.821,2.357,0.0
cwhvh1_hw_ss_h,existing_managed_11_50,600521,CWHvh1_HW+SS,H,376.075834,0250,high,2101.2,210,500.6,932.2,1265.7,1500.2,1246.927,1.685,0.0
cwhvh1_hw_ss_h,existing_managed_1_10,600522,CWHvh1_HW+SS,H,376.075834,0150,medium,2082.2,210,484.9,889.4,1200.9,1434.4,1246.927,1.67,0.0
cwhvh1_hw_ss_h,future_managed,600523,CWHvh1_HW+SS,H,376.075834,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,1246.927,1.586,0.0
cwhvh1_hw_ss_l,existing_managed_11_50,600671,CWHvh1_HW+SS,L,265.087958,7252,medium,1321.4,350,149.6,351.0,539.2,692.6,742.669,1.779,0.0
cwhvh1_hw_ss_l,existing_managed_1_10,600672,CWHvh1_HW+SS,L,265.087958,6150,medium,1330.6,350,131.6,328.0,514.7,668.5,742.669,1.792,0.0
cwhvh1_hw_ss_l,future_managed,600673,CWHvh1_HW+SS,L,265.087958,9510,medium,1340.4,350,127.4,330.5,518.3,670.5,742.669,1.805,0.0
cwhvh1_hw_ss_m,existing_managed_11_50,600691,CWHvh1_HW+SS,M,246.655292,7250,medium,1340.0,350,109.2,292.6,479.2,644.5,978.448,1.37,0.0
cwhvh1_hw_ss_m,existing_managed_1_10,600692,CWHvh1_HW+SS,M,246.655292,6150,medium,1330.6,350,131.6,328.0,514.7,668.5,978.448,1.36,0.0
cwhvh1_hw_ss_m,future_managed,600693,CWHvh1_HW+SS,M,246.655292,9510,medium,1340.4,350,127.4,330.5,518.3,670.5,978.448,1.37,0.0
cwhvm1_ba_hw_h,existing_managed_11_50,600611,CWHvm1_BA+HW,H,311.257048,1210,high,1967.4,350,261.2,566.3,836.2,1039.5,1118.545,1.759,0.0
cwhvm1_ba_hw_h,existing_managed_1_10,600612,CWHvm1_BA+HW,H,311.257048,1110,high,1907.8,350,274.5,579.7,842.0,1036.8,1118.545,1.706,0.0
cwhvm1_ba_hw_h,future_managed,600613,CWHvm1_BA+HW,H,311.257048,5500,medium,1837.9,350,256.7,560.3,828.8,1032.5,1118.545,1.643,0.0
cwhvm1_ba_hw_l,existing_managed_11_50,600681,CWHvm1_BA+HW,L,255.663163,1210,low,1967.4,350,261.2,566.3,836.2,1039.5,901.48,2.182,0.0
cwhvm1_ba_hw_l,existing_managed_1_10,600682,CWHvm1_BA+HW,L,255.663163,1110,low,1907.8,350,274.5,579.7,842.0,1036.8,901.48,2.116,0.0
cwhvm1_ba_hw_l,future_managed,600683,CWHvm1_BA+HW,L,255.663163,5500,low,1837.9,350,256.7,560.3,828.8,1032.5,901.48,2.039,0.0
cwhvm1_ba_hw_m,existing_managed_11_50,600761,CWHvm1_BA+HW,M,134.660517,1210,high,1967.4,350,261.2,566.3,836.2,1039.5,1026.197,1.917,0.0
cwhvm1_ba_hw_m,existing_managed_1_10,600762,CWHvm1_BA+HW,M,134.660517,1110,high,1907.8,350,274.5,579.7,842.0,1036.8,1026.197,1.859,0.0
cwhvm1_ba_hw_m,future_managed,600763,CWHvm1_BA+HW,M,134.660517,5500,medium,1837.9,350,256.7,560.3,828.8,1032.5,1026.197,1.791,0.0
cwhvm1_cw_h,existing_managed_11_50,600181,CWHvm1_CW,H,1331.281287,7221,high,1581.7,280,203.1,484.3,751.8,978.1,964.985,1.639,0.0
cwhvm1_cw_h,existing_managed_1_10,600182,CWHvm1_CW,H,1331.281287,6120,high,1076.7,280,115.9,322.9,493.9,655.2,964.985,1.116,0.0
cwhvm1_cw_h,future_managed,600183,CWHvm1_CW,H,1331.281287,6501,high,1514.7,270,217.2,491.5,746.5,963.6,964.985,1.57,0.0
cwhvm1_cw_hw_h,existing_managed_11_50,600061,CWHvm1_CW+HW,H,6154.404369,1220,high,1631.5,310,225.8,515.4,784.7,1008.4,943.689,1.729,0.0
cwhvm1_cw_hw_h,existing_managed_1_10,600062,CWHvm1_CW+HW,H,6154.404369,1120,high,1634.1,320,247.9,540.3,804.2,1021.4,943.689,1.732,0.0
cwhvm1_cw_hw_h,future_managed,600063,CWHvm1_CW+HW,H,6154.404369,7500,medium,1091.9,300,92.7,287.0,462.2,629.8,943.689,1.157,0.0
cwhvm1_cw_hw_l,existing_managed_11_50,600071,CWHvm1_CW+HW,L,6107.943901,6220,medium,1127.0,320,111.9,311.0,486.5,648.2,783.068,1.439,0.0
cwhvm1_cw_hw_l,existing_managed_1_10,600072,CWHvm1_CW+HW,L,6107.943901,1120,low,1634.1,320,247.9,540.3,804.2,1021.4,783.068,2.087,0.0
cwhvm1_cw_hw_l,future_managed,600073,CWHvm1_CW+HW,L,6107.943901,7500,medium,1091.9,300,92.7,287.0,462.2,629.8,783.068,1.394,0.0
cwhvm1_cw_hw_m,existing_managed_11_50,600101,CWHvm1_CW+HW,M,4015.120247,6220,high,1127.0,320,111.9,311.0,486.5,648.2,830.562,1.357,0.0
cwhvm1_cw_hw_m,existing_managed_1_10,600102,CWHvm1_CW+HW,M,4015.120247,1120,medium,1634.1,320,247.9,540.3,804.2,1021.4,830.562,1.967,0.0
cwhvm1_cw_hw_m,future_managed,600103,CWHvm1_CW+HW,M,4015.120247,7500,medium,1091.9,300,92.7,287.0,462.2,629.8,830.562,1.315,0.0
cwhvm1_cw_l,existing_managed_11_50,600411,CWHvm1_CW,L,558.799848,7221,fallback_review_required,1581.7,280,203.1,484.3,751.8,978.1,828.523,1.909,0.0
cwhvm1_cw_l,existing_managed_1_10,600412,CWHvm1_CW,L,558.799848,6120,low,1076.7,280,115.9,322.9,493.9,655.2,828.523,1.3,0.0
cwhvm1_cw_l,future_managed,600413,CWHvm1_CW,L,558.799848,6500,low,1072.6,280,105.7,312.4,484.3,647.9,828.523,1.295,0.0
cwhvm1_cw_m,existing_managed_11_50,600351,CWHvm1_CW,M,736.056723,7221,low,1581.7,280,203.1,484.3,751.8,978.1,686.356,2.304,0.0
cwhvm1_cw_m,existing_managed_1_10,600352,CWHvm1_CW,M,736.056723,6120,medium,1076.7,280,115.9,322.9,493.9,655.2,686.356,1.569,0.0
cwhvm1_cw_m,future_managed,600353,CWHvm1_CW,M,736.056723,6500,medium,1072.6,280,105.7,312.4,484.3,647.9,686.356,1.563,0.0
cwhvm1_cw_yc_h,existing_managed_11_50,600451,CWHvm1_CW+YC,H,485.666198,6220,medium,1127.0,320,111.9,311.0,486.5,648.2,927.736,1.215,0.0
cwhvm1_cw_yc_h,existing_managed_1_10,600452,CWHvm1_CW+YC,H,485.666198,7120,medium,1094.3,300,101.5,297.1,471.6,637.2,927.736,1.18,0.0
cwhvm1_cw_yc_h,future_managed,600453,CWHvm1_CW+YC,H,485.666198,7500,medium,1091.9,300,92.7,287.0,462.2,629.8,927.736,1.177,0.0
cwhvm1_cw_yc_l,existing_managed_11_50,600191,CWHvm1_CW+YC,L,1293.870013,6220,low,1127.0,320,111.9,311.0,486.5,648.2,808.724,1.394,0.0
cwhvm1_cw_yc_l,existing_managed_1_10,600192,CWHvm1_CW+YC,L,1293.870013,1120,fallback_review_required,1634.1,320,247.9,540.3,804.2,1021.4,808.724,2.021,0.0
cwhvm1_cw_yc_l,future_managed,600193,CWHvm1_CW+YC,L,1293.870013,7500,low,1091.9,300,92.7,287.0,462.2,629.8,808.724,1.35,0.0
cwhvm1_cw_yc_m,existing_managed_11_50,600641,CWHvm1_CW+YC,M,285.012202,6220,medium,1127.0,320,111.9,311.0,486.5,648.2,715.166,1.576,0.0
cwhvm1_cw_yc_m,existing_managed_1_10,600642,CWHvm1_CW+YC,M,285.012202,1120,low,1634.1,320,247.9,540.3,804.2,1021.4,715.166,2.285,0.0
cwhvm1_cw_yc_m,future_managed,600643,CWHvm1_CW+YC,M,285.012202,7500,low,1091.9,300,92.7,287.0,462.2,629.8,715.166,1.527,0.0
cwhvm1_dr_h,existing_managed_11_50,600621,CWHvm1_DR,H,308.751729,7270,fallback_review_required,824.0,340,161.4,314.7,357.7,456.7,630.694,1.306,24.0
cwhvm1_dr_h,existing_managed_1_10,600622,CWHvm1_DR,H,308.751729,0110,fallback_review_required,1918.8,280,532.4,958.2,1262.4,1461.6,630.694,3.042,0.0
cwhvm1_dr_h,future_managed,600623,CWHvm1_DR,H,308.751729,0500,fallback_review_required,1919.0,280,509.1,939.4,1250.7,1452.8,630.694,3.043,0.0
cwhvm1_dr_hw_h,existing_managed_11_50,600381,CWHvm1_DR+HW,H,620.529576,7270,fallback_review_required,824.0,340,110.8,253.8,345.6,456.7,688.708,1.196,24.0
cwhvm1_dr_hw_h,existing_managed_1_10,600382,CWHvm1_DR+HW,H,620.529576,0150,fallback_review_required,2082.2,210,484.9,889.4,1200.9,1434.4,688.708,3.023,0.0
cwhvm1_dr_hw_h,future_managed,600383,CWHvm1_DR+HW,H,620.529576,0500,fallback_review_required,1919.0,280,509.1,939.4,1250.7,1452.8,688.708,2.786,0.0
cwhvm1_dr_hw_l,existing_managed_11_50,600471,CWHvm1_DR+HW,L,463.173065,7270,fallback_review_required,824.0,340,110.8,253.8,345.6,456.7,349.181,2.36,24.0
cwhvm1_dr_hw_l,existing_managed_1_10,600472,CWHvm1_DR+HW,L,463.173065,6150,fallback_review_required,1330.6,350,131.6,328.0,514.7,668.5,349.181,3.811,0.0
cwhvm1_dr_hw_l,future_managed,600473,CWHvm1_DR+HW,L,463.173065,9510,fallback_review_required,1340.4,350,127.4,330.5,518.3,670.5,349.181,3.839,0.0
cwhvm1_dr_hw_m,existing_managed_11_50,600551,CWHvm1_DR+HW,M,354.077189,7270,fallback_review_required,824.0,340,110.5,253.6,345.5,456.7,537.439,1.533,24.0
cwhvm1_dr_hw_m,existing_managed_1_10,600552,CWHvm1_DR+HW,M,354.077189,7150,fallback_review_required,1315.9,350,110.8,295.6,479.4,639.0,537.439,2.448,0.0
cwhvm1_dr_hw_m,future_managed,600553,CWHvm1_DR+HW,M,354.077189,1500,fallback_review_required,1873.1,350,275.6,589.6,867.3,1075.1,537.439,3.485,0.0
cwhvm1_dr_l,existing_managed_11_50,600591,CWHvm1_DR,L,342.368985,7270,fallback_review_required,824.0,340,105.8,248.5,345.2,456.7,231.689,3.556,24.0
cwhvm1_dr_l,existing_managed_1_10,600592,CWHvm1_DR,L,342.368985,0110,fallback_review_required,1918.8,280,532.4,958.2,1262.4,1461.6,231.689,8.282,0.0
cwhvm1_dr_l,future_managed,600593,CWHvm1_DR,L,342.368985,0500,fallback_review_required,1919.0,280,509.1,939.4,1250.7,1452.8,231.689,8.283,0.0
cwhvm1_dr_m,existing_managed_11_50,600751,CWHvm1_DR,M,138.340811,7270,fallback_review_required,824.0,340,128.0,277.9,351.0,456.7,334.2,2.466,24.0
cwhvm1_dr_m,existing_managed_1_10,600752,CWHvm1_DR,M,138.340811,0110,fallback_review_required,1918.8,280,532.4,958.2,1262.4,1461.6,334.2,5.741,0.0
cwhvm1_dr_m,future_managed,600753,CWHvm1_DR,M,138.340811,0500,fallback_review_required,1919.0,280,509.1,939.4,1250.7,1452.8,334.2,5.742,0.0
cwhvm1_hw_ba_h,existing_managed_11_50,600041,CWHvm1_HW+BA,H,6336.709216,5250,high,1958.9,350,286.7,607.9,893.9,1111.8,1140.602,1.717,0.0
cwhvm1_hw_ba_h,existing_managed_1_10,600042,CWHvm1_HW+BA,H,6336.709216,0150,high,2082.2,210,484.9,889.4,1200.9,1434.4,1140.602,1.826,0.0
cwhvm1_hw_ba_h,future_managed,600043,CWHvm1_HW+BA,H,6336.709216,1510,high,1977.6,350,339.5,655.1,915.8,1104.7,1140.602,1.734,0.0
cwhvm1_hw_ba_l,existing_managed_11_50,600051,CWHvm1_HW+BA,L,6328.040635,9250,high,1359.8,350,99.0,273.7,455.8,616.5,896.69,1.516,0.0
cwhvm1_hw_ba_l,existing_managed_1_10,600052,CWHvm1_HW+BA,L,6328.040635,6150,high,1330.6,350,131.6,328.0,514.7,668.5,896.69,1.484,0.0
cwhvm1_hw_ba_l,future_managed,600053,CWHvm1_HW+BA,L,6328.040635,9510,high,1340.4,350,127.4,330.5,518.3,670.5,896.69,1.495,0.0
cwhvm1_hw_ba_m,existing_managed_11_50,600021,CWHvm1_HW+BA,M,13083.871387,5250,high,1958.9,350,286.7,607.9,893.9,1111.8,1085.13,1.805,0.0
cwhvm1_hw_ba_m,existing_managed_1_10,600022,CWHvm1_HW+BA,M,13083.871387,6150,medium,1330.6,350,131.6,328.0,514.7,668.5,1085.13,1.226,0.0
cwhvm1_hw_ba_m,future_managed,600023,CWHvm1_HW+BA,M,13083.871387,1510,high,1977.6,350,339.5,655.1,915.8,1104.7,1085.13,1.822,0.0
cwhvm1_hw_cw_h,existing_managed_11_50,600131,CWHvm1_HW+CW,H,2899.431292,1251,high,2120.1,210,469.8,887.9,1220.5,1463.3,1191.464,1.779,0.0
cwhvm1_hw_cw_h,existing_managed_1_10,600132,CWHvm1_HW+CW,H,2899.431292,0150,high,2082.2,210,484.9,889.4,1200.9,1434.4,1191.464,1.748,0.0
cwhvm1_hw_cw_h,future_managed,600133,CWHvm1_HW+CW,H,2899.431292,1500,medium,1873.1,350,275.6,589.6,867.3,1075.1,1191.464,1.572,0.0
cwhvm1_hw_cw_l,existing_managed_11_50,600031,CWHvm1_HW+CW,L,7117.880299,6251,low,1831.5,350,312.3,634.6,912.7,1122.9,833.555,2.197,0.0
cwhvm1_hw_cw_l,existing_managed_1_10,600032,CWHvm1_HW+CW,L,7117.880299,7150,high,1315.9,350,110.8,295.6,479.4,639.0,833.555,1.579,0.0
cwhvm1_hw_cw_l,future_managed,600033,CWHvm1_HW+CW,L,7117.880299,1500,low,1873.1,350,275.6,589.6,867.3,1075.1,833.555,2.247,0.0
cwhvm1_hw_cw_m,existing_managed_11_50,600011,CWHvm1_HW+CW,M,14576.473609,6251,high,1831.5,350,312.3,634.6,912.7,1122.9,1049.39,1.745,0.0
cwhvm1_hw_cw_m,existing_managed_1_10,600012,CWHvm1_HW+CW,M,14576.473609,7150,medium,1315.9,350,110.8,295.6,479.4,639.0,1049.39,1.254,0.0
cwhvm1_hw_cw_m,future_managed,600013,CWHvm1_HW+CW,M,14576.473609,1500,high,1873.1,350,275.6,589.6,867.3,1075.1,1049.39,1.785,0.0
cwhvm1_hw_dr_h,existing_managed_11_50,600261,CWHvm1_HW+DR,H,949.516627,0250,medium,2101.2,210,500.6,932.2,1265.7,1500.2,892.243,2.355,0.0
cwhvm1_hw_dr_h,existing_managed_1_10,600262,CWHvm1_HW+DR,H,949.516627,0150,medium,2082.2,210,484.9,889.4,1200.9,1434.4,892.243,2.334,0.0
cwhvm1_hw_dr_h,future_managed,600263,CWHvm1_HW+DR,H,949.516627,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,892.243,2.216,0.0
cwhvm1_hw_dr_l,existing_managed_11_50,600251,CWHvm1_HW+DR,L,983.327431,6250,medium,1288.7,350,121.1,311.7,495.5,652.7,740.151,1.741,0.0
cwhvm1_hw_dr_l,existing_managed_1_10,600252,CWHvm1_HW+DR,L,983.327431,6150,medium,1330.6,350,131.6,328.0,514.7,668.5,740.151,1.798,0.0
cwhvm1_hw_dr_l,future_managed,600253,CWHvm1_HW+DR,L,983.327431,1510,low,1977.6,350,339.5,655.1,915.8,1104.7,740.151,2.672,0.0
cwhvm1_hw_dr_m,existing_managed_11_50,600211,CWHvm1_HW+DR,M,1157.28499,3252,high,1903.4,350,352.9,679.9,951.7,1147.0,841.233,2.263,0.0
cwhvm1_hw_dr_m,existing_managed_1_10,600212,CWHvm1_HW+DR,M,1157.28499,6150,medium,1330.6,350,131.6,328.0,514.7,668.5,841.233,1.582,0.0
cwhvm1_hw_dr_m,future_managed,600213,CWHvm1_HW+DR,M,1157.28499,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,841.233,2.351,0.0
cwhvm1_hw_fd_h,existing_managed_11_50,600321,CWHvm1_HW+FD,H,812.542221,4250,medium,1747.4,350,292.6,594.9,839.9,1034.5,1265.74,1.381,5.0
cwhvm1_hw_fd_h,existing_managed_1_10,600322,CWHvm1_HW+FD,H,812.542221,0150,medium,2082.2,210,484.9,889.4,1200.9,1434.4,1265.74,1.645,0.0
cwhvm1_hw_fd_h,future_managed,600323,CWHvm1_HW+FD,H,812.542221,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,1265.74,1.562,0.0
cwhvm1_hw_fd_l,existing_managed_11_50,600491,CWHvm1_HW+FD,L,401.313888,8250,medium,1257.6,350,103.4,272.0,445.4,598.0,1064.335,1.182,0.0
cwhvm1_hw_fd_l,existing_managed_1_10,600492,CWHvm1_HW+FD,L,401.313888,8170,medium,1097.8,350,120.6,287.4,448.6,585.5,1064.335,1.031,0.0
cwhvm1_hw_fd_l,future_managed,600493,CWHvm1_HW+FD,L,401.313888,9510,low,1340.4,350,127.4,330.5,518.3,670.5,1064.335,1.259,0.0
cwhvm1_hw_fd_m,existing_managed_11_50,600371,CWHvm1_HW+FD,M,678.283068,4250,high,1747.4,350,292.6,595.0,839.9,1034.5,1057.37,1.653,5.0
cwhvm1_hw_fd_m,existing_managed_1_10,600372,CWHvm1_HW+FD,M,678.283068,1150,medium,1884.5,350,293.8,609.9,883.7,1090.2,1057.37,1.782,0.0
cwhvm1_hw_fd_m,future_managed,600373,CWHvm1_HW+FD,M,678.283068,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,1057.37,1.87,0.0
cwhvm1_hw_fdc_h,existing_managed_11_50,600291,CWHvm1_HW+FDC,H,888.764635,4250,high,1747.4,350,292.2,594.6,839.9,1034.5,1231.651,1.419,5.0
cwhvm1_hw_fdc_h,existing_managed_1_10,600292,CWHvm1_HW+FDC,H,888.764635,0150,medium,2082.2,210,484.9,889.4,1200.9,1434.4,1231.651,1.691,0.0
cwhvm1_hw_fdc_h,future_managed,600293,CWHvm1_HW+FDC,H,888.764635,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,1231.651,1.606,0.0
cwhvm1_hw_fdc_l,existing_managed_11_50,600201,CWHvm1_HW+FDC,L,1288.9352,8250,medium,1257.6,350,103.4,272.0,445.4,598.0,1153.231,1.091,0.0
cwhvm1_hw_fdc_l,existing_managed_1_10,600202,CWHvm1_HW+FDC,L,1288.9352,0150,medium,2082.2,210,484.9,889.4,1200.9,1434.4,1153.231,1.806,0.0
cwhvm1_hw_fdc_l,future_managed,600203,CWHvm1_HW+FDC,L,1288.9352,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,1153.231,1.715,0.0
cwhvm1_hw_h,existing_managed_11_50,600161,CWHvm1_HW,H,1645.046704,0252,high,2124.3,210,576.0,987.7,1292.9,1516.0,1022.038,2.078,0.0
cwhvm1_hw_h,existing_managed_1_10,600162,CWHvm1_HW,H,1645.046704,0150,medium,2082.2,210,484.9,889.4,1200.9,1434.4,1022.038,2.037,0.0
cwhvm1_hw_h,future_managed,600163,CWHvm1_HW,H,1645.046704,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,1022.038,1.935,0.0
cwhvm1_hw_l,existing_managed_11_50,600171,CWHvm1_HW,L,1582.40532,1252,fallback_review_required,1963.2,350,349.9,675.2,944.2,1135.6,736.515,2.666,0.0
cwhvm1_hw_l,existing_managed_1_10,600172,CWHvm1_HW,L,1582.40532,6150,medium,1330.6,350,131.6,328.0,514.7,668.5,736.515,1.807,0.0
cwhvm1_hw_l,future_managed,600173,CWHvm1_HW,L,1582.40532,1510,fallback_review_required,1977.6,350,339.5,655.1,915.8,1104.7,736.515,2.685,0.0
cwhvm1_hw_m,existing_managed_11_50,600081,CWHvm1_HW,M,4138.939451,1252,high,1963.2,350,349.9,675.2,944.2,1135.6,961.763,2.041,0.0
cwhvm1_hw_m,existing_managed_1_10,600082,CWHvm1_HW,M,4138.939451,6150,medium,1330.6,350,131.6,328.0,514.7,668.5,961.763,1.384,0.0
cwhvm1_hw_m,future_managed,600083,CWHvm1_HW,M,4138.939451,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,961.763,2.056,0.0
cwhvm1_hw_ss_h,existing_managed_11_50,600151,CWHvm1_HW+SS,H,2240.217819,0250,high,2101.2,210,500.6,932.2,1265.7,1500.2,1185.82,1.772,0.0
cwhvm1_hw_ss_h,existing_managed_1_10,600152,CWHvm1_HW+SS,H,2240.217819,0150,medium,2082.2,210,484.9,889.4,1200.9,1434.4,1185.82,1.756,0.0
cwhvm1_hw_ss_h,future_managed,600153,CWHvm1_HW+SS,H,2240.217819,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,1185.82,1.668,0.0
cwhvm1_hw_ss_l,existing_managed_11_50,600091,CWHvm1_HW+SS,L,4135.63912,7252,high,1321.4,350,149.6,351.0,539.2,692.6,1057.283,1.25,0.0
cwhvm1_hw_ss_l,existing_managed_1_10,600092,CWHvm1_HW+SS,L,4135.63912,6150,medium,1330.6,350,131.6,328.0,514.7,668.5,1057.283,1.259,0.0
cwhvm1_hw_ss_l,future_managed,600093,CWHvm1_HW+SS,L,4135.63912,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,1057.283,1.87,0.0
cwhvm1_hw_ss_m,existing_managed_11_50,600271,CWHvm1_HW+SS,M,928.457868,0250,medium,2101.2,210,500.6,932.2,1265.7,1500.2,1193.284,1.761,0.0
cwhvm1_hw_ss_m,existing_managed_1_10,600272,CWHvm1_HW+SS,M,928.457868,0150,medium,2082.2,210,484.9,889.4,1200.9,1434.4,1193.284,1.745,0.0
cwhvm1_hw_ss_m,future_managed,600273,CWHvm1_HW+SS,M,928.457868,1510,medium,1977.6,350,339.5,655.1,915.8,1104.7,1193.284,1.657,0.0
cwhvm1_ss_hw_h,existing_managed_11_50,600401,CWHvm1_SS+HW,H,576.664115,0260,high,1839.4,210,581.4,1051.9,1398.7,1607.6,1424.328,1.291,0.0
cwhvm1_ss_hw_h,existing_managed_1_10,600402,CWHvm1_SS+HW,H,576.664115,0110,low,1918.8,280,532.4,958.2,1262.4,1461.6,1424.328,1.347,0.0
cwhvm1_ss_hw_h,future_managed,600403,CWHvm1_SS+HW,H,576.664115,0500,low,1919.0,280,509.1,939.4,1250.7,1452.8,1424.328,1.347,0.0
cwhvm1_ss_hw_l,existing_managed_11_50,600431,CWHvm1_SS+HW,L,541.878934,7260,high,1477.3,280,199.2,464.8,707.0,916.8,1099.624,1.343,0.0
cwhvm1_ss_hw_l,existing_managed_1_10,600432,CWHvm1_SS+HW,L,541.878934,0110,low,1918.8,280,532.4,958.2,1262.4,1461.6,1099.624,1.745,0.0
