scenario_id,threshold_pct,min_steep_proportion,accounting,fragment_count,valid_fragment_count,deduction_ha,delta_to_mp11_ha,abs_delta_to_mp11_ha,delta_to_mp11_pct,remaining_after_step220_ha
slope_ge_80_prop_ge_0.5_partial_area_diagnostic,80,0.5,partial_area_diagnostic,6090,39240,4939.6414559265195,3119.6414559265195,3119.6414559265195,171.4088712047538,124269.03654910879
slope_ge_80_prop_ge_0.75_partial_area_diagnostic,80,0.75,partial_area_diagnostic,6090,39240,4939.6414559265195,3119.6414559265195,3119.6414559265195,171.4088712047538,124269.03654910879
slope_ge_80_prop_ge_0.9_partial_area_diagnostic,80,0.9,partial_area_diagnostic,6090,39240,4939.6414559265195,3119.6414559265195,3119.6414559265195,171.4088712047538,124269.03654910879
slope_ge_80_prop_ge_1_partial_area_diagnostic,80,1.0,partial_area_diagnostic,6090,39240,4939.6414559265195,3119.6414559265195,3119.6414559265195,171.4088712047538,124269.03654910879
slope_ge_60_prop_ge_0.75_whole_fragment,60,0.75,whole_fragment,2093,39240,5126.354993879264,3306.354993879264,3306.354993879264,181.66785680655298,124082.32301115606
slope_ge_70_prop_ge_0.5_whole_fragment,70,0.5,whole_fragment,1857,39240,5646.183041981942,3826.1830419819416,3826.1830419819416,210.22983747153526,123562.49496305337
slope_ge_80_prop_ge_0.25_whole_fragment,80,0.25,whole_fragment,1773,39240,6524.313595905151,4704.313595905151,4704.313595905151,258.4787690057775,122684.36440913015
slope_ge_70_prop_ge_0.25_partial_area_diagnostic,70,0.25,partial_area_diagnostic,8832,39240,9655.063575183536,7835.063575183536,7835.063575183536,430.4979986364581,119553.61442985178
slope_ge_70_prop_ge_0.5_partial_area_diagnostic,70,0.5,partial_area_diagnostic,8832,39240,9655.063575183536,7835.063575183536,7835.063575183536,430.4979986364581,119553.61442985178
slope_ge_70_prop_ge_0.75_partial_area_diagnostic,70,0.75,partial_area_diagnostic,8832,39240,9655.063575183536,7835.063575183536,7835.063575183536,430.4979986364581,119553.61442985178
slope_ge_70_prop_ge_0.9_partial_area_diagnostic,70,0.9,partial_area_diagnostic,8832,39240,9655.063575183536,7835.063575183536,7835.063575183536,430.4979986364581,119553.61442985178
slope_ge_70_prop_ge_1_partial_area_diagnostic,70,1.0,partial_area_diagnostic,8832,39240,9655.063575183536,7835.063575183536,7835.063575183536,430.4979986364581,119553.61442985178
slope_ge_60_prop_ge_0.5_whole_fragment,60,0.5,whole_fragment,3816,39240,12756.701021057783,10936.701021057783,10936.701021057783,600.9176385196585,116451.97698397753
slope_ge_70_prop_ge_0.25_whole_fragment,70,0.25,whole_fragment,3469,39240,13788.164699517514,11968.164699517514,11968.164699517514,657.5914670064568,115420.5133055178
slope_ge_60_prop_ge_0.25_partial_area_diagnostic,60,0.25,partial_area_diagnostic,12428,39240,17429.71112491688,15609.711124916881,15609.711124916881,857.6764354349936,111778.96688011843
slope_ge_60_prop_ge_0.5_partial_area_diagnostic,60,0.5,partial_area_diagnostic,12428,39240,17429.71112491688,15609.711124916881,15609.711124916881,857.6764354349936,111778.96688011843
slope_ge_60_prop_ge_0.75_partial_area_diagnostic,60,0.75,partial_area_diagnostic,12428,39240,17429.71112491688,15609.711124916881,15609.711124916881,857.6764354349936,111778.96688011843
slope_ge_60_prop_ge_0.9_partial_area_diagnostic,60,0.9,partial_area_diagnostic,12428,39240,17429.71112491688,15609.711124916881,15609.711124916881,857.6764354349936,111778.96688011843
slope_ge_60_prop_ge_1_partial_area_diagnostic,60,1.0,partial_area_diagnostic,12428,39240,17429.71112491688,15609.711124916881,15609.711124916881,857.6764354349936,111778.96688011843
slope_ge_60_prop_ge_0.25_whole_fragment,60,0.25,whole_fragment,6208,39240,25865.294530155552,24045.294530155552,24045.294530155552,1321.1700291294258,103343.38347487975
