au_id,base_au,si_level,accepted,selected_path,source_stand_count,age_min,age_max,max_volume,peak_age,peak_volume,terminal_volume,first_age_ge_1,first_age_ge_10,first_age_ge_50,volume_at_80,volume_at_120,volume_at_200,volume_at_250,terminal_uptick_from_post_peak_min,terminal_uptick_ratio,last_20_gain,last_50_gain,max_single_year_drop,max_single_year_gain,negative_year_count,large_negative_year_count,sign_change_count,shape_severity,shape_flags,recommended_action,lmh_order_violation_count,lmh_order_max_violation_m3ha
cwhvm2_hw_l,cwhvm2_hw,L,True,smoothed_bin_pchip,62,1,299,763.349016,145,763.349016,495.2,5.0,11.0,21.0,527.641784,713.395001,593.086806,525.758099,0.0,0.0,-8.331978,-31.29287,-4.52987,8.950439,141,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,1,78.191555
cwhvm2_hw_m,cwhvm2_hw,M,True,smoothed_bin_pchip,28,1,299,772.800529,160,772.800529,660.397225,11.0,19.0,30.0,450.593358,680.321603,715.102054,677.999348,0.0,0.0,-7.892937,-17.974934,-1.860081,11.637518,138,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,1,78.191555
cwhvm2_hw_ba_h,cwhvm2_hw_ba,H,True,smoothed_bin_pchip,315,1,299,1110.072224,170,1110.072224,985.872056,4.0,9.0,17.0,735.643797,1004.621817,1095.599981,1039.418925,0.0,0.0,-16.595287,-54.987383,-1.450585,12.579835,122,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,1,44.87191
cwhvm2_hw_ba_l,cwhvm2_hw_ba,L,True,smoothed_bin_pchip,434,1,299,920.31217,150,920.31217,620.125333,5.0,10.0,19.0,629.000692,859.417498,820.656569,688.77163,0.0,0.0,-9.197237,-72.083413,-3.555973,11.329316,145,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,1,44.87191
cwhvm2_hw_ba_m,cwhvm2_hw_ba,M,True,smoothed_bin_pchip,299,1,299,1005.36405,175,1005.36405,807.722891,6.0,12.0,22.0,616.308418,877.634087,983.523616,887.465569,0.0,0.0,-14.133408,-82.737612,-3.010571,11.645514,118,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,1,44.87191
cwhvm2_hw_cw_h,cwhvm2_hw_cw,H,True,smoothed_bin_pchip,125,1,299,988.67918,185,988.67918,885.132337,9.0,16.0,25.0,633.722916,868.111364,984.254359,935.092116,0.0,0.0,-15.677709,-51.358768,-1.403172,14.922414,108,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,155.65
cwhvm2_hw_cw_l,cwhvm2_hw_cw,L,True,smoothed_bin_pchip,134,1,299,837.986982,160,837.986982,573.725333,5.0,10.0,18.0,600.602183,767.322134,751.071383,640.578597,0.0,0.0,-17.064878,-69.509945,-3.06081,10.810728,138,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,155.65
cwhvm2_hw_cw_m,cwhvm2_hw_cw,M,True,smoothed_bin_pchip,114,1,299,821.677435,180,821.677435,694.794105,8.0,16.0,27.0,457.152569,686.486407,816.32196,756.142432,0.0,0.0,-16.503599,-63.29338,-1.958247,9.59022,111,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,155.65
cwhvm2_yc_h,cwhvm2_yc,H,True,smoothed_bin_pchip,3,1,299,903.568933,200,903.568933,880.102105,13.0,23.0,37.0,397.955307,726.72901,903.568933,892.140208,0.0,0.0,-4.538328,-12.308428,-0.278543,10.581911,66,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,1,78.860304
cwhvm2_yc_cw_m,cwhvm2_yc_cw,M,True,smoothed_bin_pchip,10,1,299,331.882066,155,331.882066,167.16768,18.0,32.0,53.0,145.287888,275.388411,201.612061,164.573779,4.242601,0.012783,0.854775,2.689327,-4.646672,4.893082,63,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,546.751458
cwhvm2_yc_hm_h,cwhvm2_yc_hm,H,True,smoothed_bin_pchip,27,1,299,754.31731,160,754.31731,521.028766,12.0,20.0,30.0,483.110518,688.375558,657.362669,585.288106,0.0,0.0,-11.208044,-66.267888,-3.506357,11.616731,131,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,760.282933
cwhvm2_yc_hw_h,cwhvm2_yc_hw,H,True,smoothed_bin_pchip,33,1,299,832.912065,180,832.912065,732.746904,8.0,15.0,25.0,533.778798,750.42504,824.891585,772.418594,0.0,0.0,-8.029233,-41.150861,-1.491676,10.834073,109,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,303.838781
mhmm1_ba_hw_h,mhmm1_ba_hw,H,True,smoothed_bin_pchip,9,1,299,1157.079214,180,1157.079214,1136.710327,6.0,12.0,20.0,768.278058,1050.695792,1155.646765,1145.748381,0.0,0.0,-3.22724,-9.24816,-0.217705,14.316627,0,0,0,review,lmh_order_violation,review_lmh_order_or_borrowing,1,38.010974
mhmm1_ba_hw_l,mhmm1_ba_hw,L,True,smoothed_bin_pchip,15,1,299,515.79472,299,515.79472,515.79472,32.0,45.0,59.0,153.727937,341.136563,495.328654,511.833781,0.0,0.0,1.346988,4.068158,0.0,5.4776,0,0,0,review,lmh_order_violation,review_lmh_order_or_borrowing,1,38.010974
mhmm1_ba_hw_m,mhmm1_ba_hw,M,True,smoothed_bin_pchip,9,1,299,1118.763399,180,1118.763399,999.438606,4.0,8.0,16.0,730.911627,1005.567953,1105.419206,1038.802921,0.0,0.0,-15.055613,-40.193582,-1.760149,12.245202,114,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,1,38.010974
mhmm1_cw_hw_m,mhmm1_cw_hw,M,True,smoothed_bin_pchip,3,1,299,624.867563,170,624.867563,610.7792,10.0,20.0,34.0,314.89045,506.716035,603.146361,598.312827,20.136415,0.032225,-3.560585,13.15029,-1.089488,7.047683,49,0,3,review,lmh_order_violation,review_lmh_order_or_borrowing,3,887.648486
mhmm1_hm_ba_h,mhmm1_hm_ba,H,True,smoothed_bin_pchip,2,1,299,943.789732,190,943.789732,905.872834,11.0,19.0,31.0,479.317001,774.207304,943.106414,922.094585,0.0,0.0,-5.570653,-16.65606,-0.478605,11.286867,92,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,2,445.93456
mhmm1_hm_ba_m,mhmm1_hm_ba,M,True,smoothed_bin_pchip,4,1,299,722.341933,260,722.341933,722.006267,22.0,33.0,47.0,266.910377,520.955783,717.267712,722.309989,0.0,0.0,-0.239699,-0.296833,-0.023909,8.029465,0,0,0,review,lmh_order_violation,review_lmh_order_or_borrowing,2,445.93456
mhmm1_hw_cw_l,mhmm1_hw_cw,L,True,smoothed_bin_pchip,2,1,299,829.213825,195,829.213825,799.834205,9.0,17.0,28.0,477.216351,709.954595,828.868764,815.103955,0.0,0.0,-5.754848,-15.597602,-0.371165,10.458781,81,0,1,review,lmh_order_violation,review_lmh_order_or_borrowing,1,714.462591
mhmm1_hw_yc_h,mhmm1_hw_yc,H,True,smoothed_bin_pchip,9,1,299,1187.647664,205,1187.647664,1168.836114,6.0,11.0,20.0,719.905731,1031.593547,1187.436778,1179.023816,0.0,0.0,-3.74157,-10.420053,-0.238053,13.482358,0,0,0,review,lmh_order_violation,review_lmh_order_or_borrowing,1,635.907179
mhmm1_hw_yc_m,mhmm1_hw_yc,M,True,smoothed_bin_pchip,4,1,299,442.45,290,442.45,442.23416,5.0,13.0,29.0,232.278526,348.971154,433.8,434.655901,0.0,0.0,0.79898,7.771752,-0.053949,3.723189,0,0,0,review,lmh_order_violation,review_lmh_order_or_borrowing,1,635.907179
cmaunp_hw_cw_l,cmaunp_hw_cw,L,False,insufficient_source_stands,1,250,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cmaunp_yc_cw_l,cmaunp_yc_cw,L,False,insufficient_source_stands,1,250,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
